source_file,date,duration,map,mode,result,game_id,team_id,team_total_kills,team_total_deaths,team_total_assists,team_total_gold,team_kda,summoner_name,level,champion,champion_korean,kills,deaths,assists,cs,gold,kda_ratio
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,14,1,,,,,,11시,,Garen,가렌,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,14,1,,,,,,그리,,Corki,코르키,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,14,2,,,,,,곰,,Kayle,케일,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,14,2,,,,,,12시,,Aatrox,아트록스,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,14,2,,,,,,귤아저씨,,Yunara,유나라,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,15,1,,,,,,마참,,Akali,아칼리,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,15,1,,,,,,엔디,,Maokai,마오카이,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,15,1,,,,,,11시,,Ahri,아리,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,15,1,,,,,,그리,,Ashe,애쉬,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,15,2,,,,,,곰,,TahmKench,탐 켄치,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,15,2,,,,,,12시,,Neeko,니코,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,15,2,,,,,,귤아저씨,,Gangplank,갱플랭크,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,16,1,,,,,,마참,,Yorick,요릭,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,16,1,,,,,,엔디,,Lux,럭스,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,16,1,,,,,,그리,,Kaisa,카이사,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,16,2,,,,,,11시,,Quinn,퀸,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,16,2,,,,,,귤아저씨,,Singed,신지드,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,16,2,,,,,,12시,,Blitzcrank,블리츠크랭크,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,17,1,,,,,,마참,,Nasus,나서스,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,17,1,,,,,,엔디,,Seraphine,세라핀,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,17,1,,,,,,12시,,Ahri,아리,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,17,2,,,,,,11시,,Shen,쉔,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,17,2,,,,,,귤아저씨,,Brand,브랜드,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,17,2,,,,,,그리,,Renekton,레넥톤,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,18,1,,,,,,마참,,Senna,세나,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,18,1,,,,,,11시,,Garen,가렌,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,WIN,18,1,,,,,,귤아저씨,,Vex,벡스,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,18,2,,,,,,12시,,Aurora,오로라,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,18,2,,,,,,엔디,,Leona,레오나,,,,,,
lol-naejeon-app,2026/03/27,,칼바람 나락,사용자 설정,LOSE,18,2,,,,,,그리,,Tristana,트리스타나,,,,,,
lol-naejeon-app,2026/04/02,,칼바람 나락,사용자 설정,LOSE,22,1,,,,,,12시,,Neeko,니코,,,,,,
lol-naejeon-app,2026/04/02,,칼바람 나락,사용자 설정,WIN,22,2,,,,,,곰,,Garen,가렌,,,,,,
lol-naejeon-app,2026/04/02,,칼바람 나락,사용자 설정,WIN,22,2,,,,,,엔디,,Morgana,모르가나,,,,,,
lol-naejeon-app,2026/04/02,,칼바람 나락,사용자 설정,WIN,22,2,,,,,,귤아저씨,,Swain,스웨인,,,,,,
lol-naejeon-app,2026/04/02,,칼바람 나락,사용자 설정,LOSE,22,1,,,,,,그리,,Ashe,애쉬,,,,,,
lol-naejeon-app,2026/04/02,,칼바람 나락,사용자 설정,LOSE,22,1,,,,,,마참,,Xerath,제라스,,,,,,
lol-naejeon-app,2026/04/02,,칼바람 나락,사용자 설정,LOSE,23,1,,,,,,12시,,Xayah,자야,,,,,,
lol-naejeon-app,2026/04/02,,칼바람 나락,사용자 설정,WIN,23,2,,,,,,곰,,TahmKench,탐 켄치,,,,,,
lol-naejeon-app,2026/04/02,,칼바람 나락,사용자 설정,WIN,23,2,,,,,,엔디,,Seraphine,세라핀,,,,,,
lol-naejeon-app,2026/04/02,,칼바람 나락,사용자 설정,WIN,23,2,,,,,,귤아저씨,,Jax,잭스,,,,,,
lol-naejeon-app,2026/04/02,,칼바람 나락,사용자 설정,LOSE,23,1,,,,,,그리,,Veigar,베이가,,,,,,
lol-naejeon-app,2026/04/02,,칼바람 나락,사용자 설정,LOSE,23,1,,,,,,마참,,Sejuani,세주아니,,,,,,
lol-naejeon-app,2026/04/03,,칼바람 나락,사용자 설정,WIN,24,1,,,,,,12시,,Ashe,애쉬,,,,,,
lol-naejeon-app,2026/04/03,,칼바람 나락,사용자 설정,LOSE,24,2,,,,,,곰,,Garen,가렌,,,,,,
lol-naejeon-app,2026/04/03,,칼바람 나락,사용자 설정,LOSE,24,2,,,,,,엔디,,Maokai,마오카이,,,,,,
lol-naejeon-app,2026/04/03,,칼바람 나락,사용자 설정,WIN,24,1,,,,,,귤아저씨,,Gnar,나르,,,,,,
lol-naejeon-app,2026/04/03,,칼바람 나락,사용자 설정,LOSE,24,2,,,,,,그리,,Veigar,베이가,,,,,,
lol-naejeon-app,2026/04/03,,칼바람 나락,사용자 설정,WIN,24,1,,,,,,마참,,Trundle,트런들,,,,,,
lol-naejeon-app,2026/04/03,,칼바람 나락,사용자 설정,LOSE,25,1,,,,,,12시,,Ahri,아리,,,,,,
lol-naejeon-app,2026/04/03,,칼바람 나락,사용자 설정,WIN,25,2,,,,,,곰,,Zoe,조이,,,,,,
lol-naejeon-app,2026/04/03,,칼바람 나락,사용자 설정,WIN,25,2,,,,,,엔디,,Sejuani,세주아니,,,,,,
lol-naejeon-app,2026/04/03,,칼바람 나락,사용자 설정,WIN,25,2,,,,,,귤아저씨,,Sivir,시비르,,,,,,
lol-naejeon-app,2026/04/03,,칼바람 나락,사용자 설정,LOSE,25,1,,,,,,그리,,Corki,코르키,,,,,,
lol-naejeon-app,2026/04/03,,칼바람 나락,사용자 설정,LOSE,25,1,,,,,,마참,,Lissandra,리산드라,,,,,,
lol-naejeon-app,2026/04/03,,칼바람 나락,사용자 설정,WIN,26,1,,,,,,12시,,Xayah,자야,,,,,,
lol-naejeon-app,2026/04/03,,칼바람 나락,사용자 설정,LOSE,26,2,,,,,,11시,,Elise,엘리스,,,,,,
lol-naejeon-app,2026/04/03,,칼바람 나락,사용자 설정,LOSE,26,2,,,,,,곰,,Irelia,이렐리아,,,,,,
lol-naejeon-app,2026/04/03,,칼바람 나락,사용자 설정,LOSE,26,2,,,,,,엔디,,Leona,레오나,,,,,,
lol-naejeon-app,2026/04/03,,칼바람 나락,사용자 설정,WIN,26,1,,,,,,그리,,Chogath,초가스,,,,,,
lol-naejeon-app,2026/04/03,,칼바람 나락,사용자 설정,WIN,26,1,,,,,,마참,,Ziggs,직스,,,,,,
lol-naejeon-app,2026/04/03,,칼바람 나락,사용자 설정,WIN,27,1,,,,,,12시,,Vex,벡스,,,,,,
lol-naejeon-app,2026/04/03,,칼바람 나락,사용자 설정,WIN,27,1,,,,,,11시,,Galio,갈리오,,,,,,
lol-naejeon-app,2026/04/03,,칼바람 나락,사용자 설정,LOSE,27,2,,,,,,곰,,Swain,스웨인,,,,,,
lol-naejeon-app,2026/04/03,,칼바람 나락,사용자 설정,WIN,27,1,,,,,,귤아저씨,,Khazix,카직스,,,,,,
